root,MR_number,slice_number,localImPath,localMaskPath
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00011,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00011.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00011.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00012,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00012.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00012.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00013,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00013.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00013.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00014,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00014.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00014.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00015,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00015.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00015.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00016,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00016.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00016.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00017,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00017.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00017.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00018,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00018.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00018.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00019,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00019.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00019.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00020,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00020.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00020.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00021,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00021.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00021.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00022,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00022.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00022.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00023,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00023.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00023.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00024,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00024.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00024.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00025,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00025.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00025.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00026,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00026.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00026.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00027,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00027.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00027.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00028,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00028.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00028.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00029,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00029.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00029.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00030,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00030.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00030.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00031,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00031.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00031.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00032,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00032.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00032.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00033,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00033.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00033.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00034,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00034.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00034.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00035,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00035.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00035.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00036,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00036.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00036.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00001,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00001.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00001.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00002,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00002.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00002.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00003,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00003.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00003.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00004,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00004.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00004.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00005,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00005.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00005.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00006,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00006.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00006.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00007,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00007.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00007.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00008,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00008.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00008.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00009,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00009.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00009.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00010,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00010.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00010.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00011,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00011.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00011.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00012,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00012.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00012.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00013,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00013.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00013.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00014,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00014.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00014.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00015,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00015.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00015.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00016,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00016.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00016.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00017,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00017.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00017.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00018,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00018.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00018.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00019,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00019.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00019.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00020,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00020.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00020.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00021,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00021.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00021.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00022,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00022.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00022.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00023,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00023.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00023.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00024,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00024.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00024.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00025,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00025.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00025.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00026,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00026.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00026.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00027,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00027.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00027.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00028,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00028.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00028.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00029,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00029.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00029.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00030,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00030.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00030.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00031,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00031.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00031.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00032,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00032.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00032.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00033,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00033.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00033.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00034,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00034.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00034.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00035,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00035.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00035.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,10,IMG-0043-00036,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\DICOM_anon\IMG-0043-00036.dcm,CHAOS_Train_Sets\Train_Sets\MR\10\T2SPIR\Ground\IMG-0043-00036.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00001,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00001.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00001.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00002,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00002.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00002.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00003,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00003.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00003.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00004,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00004.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00004.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00005,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00005.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00005.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00006,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00006.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00006.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00007,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00007.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00007.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00008,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00008.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00008.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00009,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00009.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00009.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00010,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00010.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00010.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00011,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00011.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00011.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00012,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00012.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00012.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00013,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00013.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00013.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00014,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00014.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00014.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00015,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00015.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00015.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00016,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00016.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00016.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00017,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00017.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00017.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00018,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00018.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00018.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,13,IMG-0061-00019,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\DICOM_anon\IMG-0061-00019.dcm,CHAOS_Train_Sets\Train_Sets\MR\13\T2SPIR\Ground\IMG-0061-00019.png
